system:time_start,NDVI,NDWI,TCB,Temp,Precip,wetland
15-Jul-13,0.755,0.289,"2,306.53",5.745,352.963,west
15-Jul-14,0.752,0.303,"2,476.70",5.302,379.044,west
15-Jul-15,0.536,0.076,"2,684.33",7.717,334.427,west
15-Jul-16,0.695,0.239,"2,582.74",7.452,403.811,west
15-Jul-17,0.737,0.259,"2,605.17",7.164,414.104,west
15-Jul-18,0.673,0.2,"2,566.22",5.608,349.579,west
15-Jul-19,0.557,0.087,"2,622.16",5.79,354.459,west
15-Jul-13,0.739,0.257,"2,466.63",5.745,352.963,east
15-Jul-14,0.749,0.286,"2,651.10",5.302,379.044,east
15-Jul-15,0.528,0.058,"2,947.02",7.717,334.427,east
15-Jul-16,0.647,0.166,"2,852.90",7.452,403.811,east
15-Jul-17,0.703,0.203,"2,680.20",7.164,414.104,east
15-Jul-18,0.666,0.15,"2,810.39",5.608,349.579,east
15-Jul-19,0.564,0.051,"2,797.19",5.79,354.459,east
